Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
Al-Co-Cr-Fe-Mo-Ni-,0.09-0.26-0.08-0.19-0.03-0.35-,-7.9504538,4.623757,1.3573065,3.1148038,2.8306553,12.860745,1749.8977,18.939941,1.847343,5.949943,8.312521,2.0538042,0.8468785,7.82856,21.976522
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.20-0.31-0.09-0.11-0.20-0.07-0.02-,-6.3726006,6.2845583,1.3471873,3.998993,3.579391,14.491685,1574.0078,26.189783,1.8030734,6.4694257,7.7605367,2.7616985,0.17444709,6.9052377,24.514923
Al-Co-Cr-Fe-Mn-Ni-,0.16-0.19-0.20-0.15-0.02-0.29-,-11.854631,5.480197,1.3519604,3.7099526,1.9619129,13.637684,1705.4032,22.211006,1.7888995,6.939823,7.5471683,2.4415925,0.3171895,7.034983,18.435316
Al-Cr-Cu-Fe-Ni-Ti-,0.02-0.35-0.18-0.19-0.23-0.03-,-0.013499439,5.800903,1.3757851,2.267199,1694.4901,12.559433,1821.1786,17.758396,1.7896796,6.6346726,8.099224,2.2221925,0.41931817,7.7564588,6.810678
Al-Co-Cr-Fe-Mo-Ni-,0.22-0.13-0.24-0.15-0.08-0.18-,-12.3424635,5.3411427,1.3559089,4.6426578,2.078332,14.452415,1774.9098,30.728895,1.7884011,9.039131,6.743431,2.4549577,0.00040521397,6.7579846,15.495774
Al-Co-Cr-Cu-Fe-Ni-Si-Ti-,0.15-0.14-0.03-0.21-0.08-0.22-0.05-0.12-,-19.724878,11.812611,1.3328575,5.341162,1.2798783,16.019405,1575.9287,21.416416,1.7992941,7.979568,7.69451,3.0913608,0.041721333,6.3909206,15.085897
Al-Co-Cr-Cu-Fe-Mo-Ni-,0.17-0.12-0.24-0.10-0.18-0.08-0.11-,-5.726697,5.8648567,1.3621491,4.3261075,4.871943,15.645632,1783.254,29.929033,1.8000231,8.800726,7.1059103,2.49478,0.00010314065,7.0935698,14.58854
Al-Cr-Nb-Ti-V-,0.25-0.07-0.21-0.24-0.24-,-16.408438,7.6422276,1.3615108,5.28345,1.5068341,12.775578,1935.3167,32.81998,1.5992143,2.3001137,4.3341556,0.92065465,0.12137625,5.4523683,22.729162
Co-Cr-Fe-Ni-Ti-,0.15-0.32-0.15-0.24-0.14-,-13.079707,7.160916,1.3809558,1.7993208,1.9162443,13.082772,1915.795,11.091488,1.7616538,7.695827,7.4461284,2.117766,0.0015102554,7.3280244,15.530608
Mo-Nb-Ti-V-,0.27-0.23-0.15-0.34-,-2.6707687,1.5885724,1.4075959,3.2265835,10.593375,11.421624,2477.0945,15.454817,1.7585851,14.469761,5.1261196,0.6466007,0.9997863,7.650588,24.38459
Al-Co-Cr-Cu-Fe-Ni-,0.27-0.14-0.22-0.02-0.22-0.11-,-11.913688,5.6224856,1.3451257,4.5905147,1.864584,13.640386,1628.5513,28.303898,1.7501829,6.8724847,6.638049,2.5789607,0.45811772,6.1704063,14.957896
Mo-Nb-Ti-V-Zr-,0.25-0.22-0.16-0.20-0.18-,-3.0642798,2.1826692,1.440376,4.4233837,10.559408,13.291444,2434.421,15.5055685,1.6861355,17.170158,4.9080734,0.7607272,0.99995744,7.4082985,24.38489
Al-Cr-Mn-Ni-V-,0.29-0.02-0.56-0.11-0.01-,-17.849022,3.9774177,1.3503909,4.941871,0.71105427,9.171113,1383.8693,23.93525,1.6139288,7.0694633,6.174675,2.3397682,0.021046394,5.858008,4.693054
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-V-,0.07-0.17-0.14-0.01-0.08-0.13-0.17-0.08-0.14-,-14.759841,7.440786,1.3651453,2.8870647,2.101886,17.22377,1801.2026,18.23766,1.7256541,8.349033,7.0500793,2.236214,0.000514312,6.9364023,18.747738
Hf-Nb-Si-Ti-V-Zr-,0.13-0.21-0.02-0.30-0.05-0.28-,-4.810411,10.572519,1.4632783,6.1288238,6.009172,12.877599,2244.7183,14.2336235,1.4745473,9.566603,4.2602305,0.44052562,0.99998903,7.2505975,400.37598
Al-Co-Cu-Fe-Mn-Ni-Sn-,0.05-0.14-0.10-0.09-0.36-0.21-0.05-,-5.394251,4.8057475,1.3727089,2.9779322,4.046204,14.324048,1523.7477,20.766987,1.7547958,9.568474,8.541977,2.26278,0.003567568,7.713975,14.283723
Cr-Cu-Fe-Mn-Ni-Sn-Zn-,0.09-0.33-0.15-0.19-0.16-0.05-0.04-,4.736056,4.2870617,1.375634,2.1256092,4.6432467,14.479457,1518.7501,24.86679,1.7968609,8.032508,9.390901,2.1324155,0.08100729,8.122665,6.8200583
Al-Co-Cr-Fe-Mn-Ni-,0.11-0.28-0.20-0.14-0.10-0.18-,-9.621401,4.9023075,1.3607525,3.3269756,2.5860863,14.348977,1734.0447,19.501421,1.7741897,7.399289,7.610033,2.1097753,0.14571099,7.3454146,22.619064
Al-Co-Cr-Fe-Ni-,0.18-0.21-0.20-0.21-0.20-,-11.611012,5.345691,1.3525249,3.9417262,1.9578458,13.373824,1699.7808,23.227995,1.7826799,6.649441,7.301189,2.414913,0.34040898,6.846057,19.006735
Co-Fe-Mo-Ni-V-,0.25-0.25-0.03-0.37-0.09-,-5.9751716,3.5992467,1.3661853,1.9519463,3.6524713,11.857351,1840.5576,12.514832,1.8630021,5.148668,8.636136,1.5143002,0.98488647,8.368231,21.746675
Al-Hf-Nb-Si-Ta-Ti-Zr-,0.11-0.13-0.13-0.05-0.10-0.24-0.24-,-22.411797,16.491474,1.4352472,8.393864,1.4870266,15.309719,2176.8481,28.428831,1.4880958,10.1399145,4.1203213,0.57652813,0.012315591,7.711307,421.53125
Al-Hf-Nb-Ta-Ti-Zr-,0.09-0.07-0.25-0.11-0.26-0.22-,-7.6896276,8.775967,1.4469862,5.860388,4.142453,13.963107,2281.2915,26.90559,1.4949183,7.627564,4.269633,0.619124,0.9999989,7.8265114,262.18195
Co-Cr-Fe-Mn-Ni-V-,0.19-0.07-0.23-0.16-0.25-0.11-,-7.098675,3.7543468,1.3726343,1.8199412,3.6263907,14.273019,1803.5824,11.10435,1.7815561,7.6122575,8.055502,1.614314,0.6694431,7.942195,17.989061
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.17-0.21-0.11-0.04-0.13-0.22-0.12-,-19.162333,9.323586,1.3513587,3.764113,1.3464115,15.419158,1673.2678,22.11105,1.7699304,8.027554,7.2226915,2.7317472,0.34840038,6.530091,19.112705
Co-Cr-Fe-Mn-Ni-,0.07-0.25-0.20-0.27-0.20-,-3.8919122,2.366672,1.3864095,1.612135,5.915332,12.76743,1803.1776,13.464856,1.7302161,8.232392,7.6990414,1.4360143,0.69696045,7.8438997,9.468379
Co-Cr-Fe-Mo-Ni-,0.16-0.24-0.16-0.09-0.35-,-4.938711,2.0112154,1.3788593,2.360104,4.990512,12.579439,1959.2837,17.520359,1.8549514,7.3526883,8.208612,1.6826468,0.6968379,8.468309,17.02868
Cr-Cu-Fe-Mn-Ni-Si-Ti-,0.19-0.30-0.07-0.06-0.31-0.02-0.05-,-2.3039427,7.7688212,1.3642948,3.0353928,9.894566,13.391217,1702.3472,17.076239,1.8142595,7.3403316,8.841396,2.2726915,0.98029757,7.9351716,7.1926556
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.17-0.07-0.17-0.19-0.16-0.01-0.22-,-4.80128,6.549079,1.350232,3.7922354,5.0574293,15.071128,1611.1687,24.742512,1.7917461,7.008603,7.831815,2.7738657,0.049204588,6.9899673,10.562371
Al-Co-Cr-Fe-Ni-Ti-V-,0.30-0.02-0.27-0.20-0.06-0.05-0.10-,-15.629421,5.8834305,1.3458507,4.861797,1.5013125,13.941213,1683.1134,30.64036,1.6899627,6.3100815,5.607402,2.196862,0.000656725,5.5048685,8.71211
Co-Fe-Mo-Nb-Ni-Ti-V-,0.13-0.12-0.24-0.06-0.03-0.19-0.22-,-12.201015,6.410473,1.3958994,2.9674065,2.7289076,14.923428,2231.0852,19.959106,1.8063116,12.930849,6.103258,1.7924697,0.019477578,7.517029,21.784481
Al-Nb-Ta-Ti-,0.03-0.45-0.27-0.25-,-1.2755888,3.766741,1.431513,2.6814032,20.015472,9.680153,2637.509,21.708466,1.5583781,2.7766616,4.689361,0.52453864,1.0,9.591731,129.80846
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.20-0.22-0.08-0.21-0.06-,-7.8898582,5.9099445,1.3497403,4.296119,2.958537,14.220992,1641.407,27.072453,1.7640281,6.755671,7.0223293,2.6108327,0.17066608,6.522682,18.15237
Hf-Nb-Si-Ti-V-Zr-,0.22-0.25-0.04-0.20-0.04-0.24-,-9.895067,14.283345,1.4666494,7.049367,3.13581,13.410453,2313.7954,14.385623,1.4709629,10.8799,4.2915587,0.4563447,0.99973637,8.096523,589.577
Co-Cr-Cu-Fe-Mn-Ni-,0.18-0.02-0.25-0.21-0.12-0.22-,3.3868613,3.7690604,1.3675519,1.7521113,6.676527,13.76211,1643.0967,12.009739,1.8357668,6.3050456,9.2060175,1.4443803,0.9888254,8.459974,15.179977
Al-Cr-Fe-Mo-Ni-Ti-,0.28-0.28-0.28-0.06-0.09-0.01-,-11.61147,4.6403484,1.3569195,5.0633144,1.8766905,12.592973,1730.42,32.333878,1.7443295,8.54237,6.0786266,2.267806,0.034798488,6.1142435,6.176154
Al-Co-Cr-Fe-Mo-Ni-,0.17-0.19-0.05-0.25-0.10-0.24-,-10.962384,5.30459,1.3588088,4.296553,2.272144,14.08407,1768.531,28.798748,1.8466301,8.162824,7.5047674,2.390592,0.0033426562,7.370516,18.167995
Al-Co-Cr-Fe-Mn-Ni-Sn-,0.22-0.18-0.04-0.04-0.26-0.20-0.06-,-15.2430935,6.5358095,1.3508902,4.509998,1.3676755,14.419933,1445.749,28.857466,1.7333775,9.305663,7.4907393,2.9902992,0.74295735,6.579524,18.156305
Al-Nb-Ta-Ti-V-Zr-,0.22-0.21-0.07-0.27-0.10-0.13-,-17.56009,10.28672,1.3953536,6.7287326,1.6351961,14.113228,2034.5581,34.641354,1.5472043,5.918527,4.1610126,0.76147497,0.041207448,6.345551,64.72944
Al-Co-Cr-Cu-Fe-Ni-,0.05-0.30-0.16-0.07-0.21-0.21-,-3.592487,4.427457,1.3632709,2.63942,6.7248755,13.699744,1763.4651,15.68107,1.8271272,5.381682,8.325857,1.8997718,0.9752205,7.913857,23.220282
Al-Co-Cr-Fe-Mo-Ni-,0.20-0.20-0.19-0.19-0.05-0.17-,-12.11793,5.4496126,1.3535371,4.3451185,2.0518453,14.341622,1733.7031,27.989712,1.7923949,8.059232,7.0439053,2.4513462,0.031047942,6.83575,18.859844
Al-Cr-Fe-Nb-Ta-Ti-Zr-,0.33-0.07-0.02-0.11-0.03-0.24-0.21-,-27.507778,11.9786415,1.3892422,7.9674644,0.88889575,13.664642,1789.4023,37.006725,1.5388327,7.710548,4.0369096,1.0423312,3.6686146e-05,5.4457088,37.133717
Al-Co-Cr-Fe-Mo-Ni-,0.18-0.22-0.23-0.08-0.02-0.27-,-12.595076,5.5227623,1.3501858,3.8952868,1.857037,13.492619,1733.5046,25.122673,1.7931234,7.587394,7.3842783,2.5135877,0.73085505,7.0105467,21.13887
Hf-Nb-Si-Ti-V-Zr-,0.21-0.17-0.07-0.21-0.14-0.20-,-17.429409,16.913294,1.4407516,8.383133,1.8708619,14.489689,2250.4287,14.234537,1.4976041,11.523769,4.314693,0.46580762,0.003207207,7.7269526,596.14026
Al-B-Co-Cr-Cu-Fe-Ni-,0.16-0.07-0.15-0.21-0.06-0.18-0.18-,-12.582261,7.5788383,1.3192383,10.336803,2.1420143,15.5433235,1733.9521,24.425707,1.7997975,7.37699,7.1306047,2.6809378,0.0007364493,6.7258677,51.643127
Nb-Ta-Ti-V-W-,0.25-0.39-0.08-0.12-0.16-,-3.5204573,2.174564,1.4178443,3.1530187,10.283454,12.140946,2981.8472,18.141787,1.6814504,17.843046,5.084878,0.47889796,0.9999995,12.959659,141.09023
Al-Au-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.15-0.01-0.05-0.11-0.25-0.08-0.03-0.24-0.07-,-8.818729,8.423369,1.3492823,3.5326715,2.8334897,15.855278,1575.991,23.549023,1.7959628,8.939682,8.019977,2.9795172,0.42516297,7.080525,1432.0497
Al-Co-Cr-Cu-Fe-Ni-,0.23-0.33-0.15-0.13-0.08-0.08-,-8.284386,6.4755716,1.3389901,3.9083295,2.6410084,13.776045,1588.2009,26.203176,1.7863702,6.9450474,7.4376698,2.785532,0.23233826,6.708366,26.900928
Al-Cr-Cu-Fe-Ni-Ti-,0.22-0.24-0.17-0.14-0.10-0.13-,-11.425358,8.428476,1.3542392,4.3208323,2.0971437,14.577066,1643.7197,27.699715,1.7232697,7.926614,6.619429,2.9120243,0.07633581,6.021893,5.871248
Al-Hf-Nb-Ni-Ta-Ti-Zr-,0.09-0.13-0.16-0.09-0.12-0.14-0.28-,-20.002314,13.239986,1.4563794,6.5253863,1.7406813,15.5455475,2239.7183,27.609257,1.4938529,11.72449,4.7022934,1.7335252,0.0027577144,8.515039,391.7471
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.14-0.10-0.09-0.17-0.19-0.18-0.12-,-11.861683,9.054786,1.3559334,3.6071763,2.1992817,15.917136,1638.9368,22.119337,1.7797396,7.8299227,7.6070943,2.8411775,0.1170072,6.733419,11.931715
Al-Co-Cr-Fe-Mn-Ni-,0.16-0.20-0.18-0.14-0.07-0.24-,-11.853778,5.590191,1.3543677,3.735659,2.0623386,14.45981,1690.6516,22.12271,1.772751,7.46669,7.456833,2.368774,0.35187024,7.018052,18.504858
Hf-Nb-Ta-Ti-Zr-,0.03-0.32-0.33-0.25-0.06-,1.7522457,0.911004,1.4459273,2.7937596,17.749166,11.624138,2675.5461,19.937506,1.5259445,5.100526,4.6567655,0.4767029,1.0,10.228506,205.7704
Al-Co-Fe-Mo-Ni-,0.03-0.30-0.26-0.05-0.35-,-4.1528096,3.0782804,1.3651394,2.6211667,4.8425255,11.192099,1796.8107,16.61146,1.8831421,4.5767026,8.736749,1.4786102,0.9724357,8.415029,23.162687
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.16-0.03-0.08-0.23-0.10-0.28-0.11-,-12.34499,9.22906,1.3483531,3.617333,1.9154195,14.939183,1582.8062,23.381151,1.7869718,8.106584,7.8464146,3.0669396,0.44808033,6.718038,8.641686
Mo-Nb-Ti-V-W-,0.30-0.22-0.13-0.20-0.15-,-4.030912,2.1054254,1.4085345,3.2565308,8.803001,13.029739,2723.3171,19.838533,1.8848588,17.07502,5.3263645,0.69503754,0.9999217,9.699322,24.73524
Al-Cr-Cu-Fe-Ni-Ti-,0.23-0.10-0.12-0.29-0.10-0.17-,-15.524668,8.784419,1.3548112,4.477784,1.4617047,14.133186,1605.6165,26.125463,1.7294092,8.036284,6.515318,2.8455079,0.6376509,5.8367553,4.4063883
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.13-0.30-0.17-0.03-0.14-0.06-0.16-0.02-,-10.237707,6.0426807,1.3566759,3.4407456,2.539572,15.214994,1708.8004,20.431593,1.7824367,7.2272897,7.613497,2.2815273,0.16531608,7.2063537,24.073513
Cu-Fe-Mn-Ni-Sn-,0.30-0.07-0.41-0.16-0.05-,1.5979753,3.6076508,1.3796182,2.1342769,10.733064,11.60978,1477.3044,18.57889,1.7543261,9.881418,9.10361,2.1013103,0.0032997616,8.087168,6.6537843
Al-Co-Cr-Fe-Mn-Ni-,0.14-0.28-0.25-0.08-0.07-0.18-,-11.032341,5.1508675,1.3562688,3.5587955,2.1892638,13.921654,1734.9019,21.648972,1.7667489,7.4168057,7.395755,2.2639146,0.15683484,7.130166,23.846514
Al-Mo-Nb-Ta-Ti-V-,0.33-0.02-0.19-0.06-0.28-0.12-,-19.805416,8.577987,1.3582227,6.0200167,1.2306969,12.860456,1895.303,40.770893,1.5967124,5.8383627,4.08591,0.88677156,0.010942884,5.812663,61.813812
Al-Co-Cr-Fe-Mo-Ni-,0.22-0.12-0.25-0.19-0.09-0.13-,-11.459145,5.017585,1.3592534,4.688476,2.2522533,14.396129,1792.7662,30.77284,1.7849334,9.099732,6.6250196,2.350237,0.00017690667,6.7473297,14.802304
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.21-0.16-0.13-0.09-0.14-0.17-0.09-,-15.133821,8.756344,1.3474817,4.072484,1.7040051,15.871361,1624.8201,25.16435,1.7631679,7.8354707,7.107669,2.8475492,0.66728586,6.3728523,15.854011
Al-Cr-Nb-Ta-Ti-Zr-,0.17-0.07-0.26-0.05-0.32-0.13-,-14.911137,9.437345,1.4097799,6.100425,1.8812302,13.419771,2090.2947,30.943254,1.5464255,5.9724245,4.2797194,0.8225943,0.42161217,6.356579,51.800148
Mo-Nb-Ti-W-Zr-,0.36-0.12-0.23-0.08-0.21-,-4.9097843,2.391878,1.4509577,4.0433006,6.4375024,12.345751,2560.1309,20.51046,1.7945024,20.703274,5.0030746,0.9410792,0.9999994,8.35644,21.06162
Al-Co-Cr-Fe-Mo-Ni-,0.12-0.26-0.01-0.18-0.10-0.31-,-9.612179,5.1040206,1.3576872,3.8166518,2.4294221,13.110793,1781.1307,26.228884,1.8724725,7.22936,8.046105,2.2495198,0.5385788,7.8264656,22.593517
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.15-0.21-0.18-0.06-0.15-0.14-0.11-,-8.478597,5.8176866,1.358896,3.7614622,3.0840929,15.729034,1662.4528,22.766815,1.7492478,7.810757,7.3415112,2.3134217,0.017499601,6.9938893,17.98204
Co-Cr-Fe-Mn-Ni-Sn-,0.34-0.17-0.22-0.01-0.24-0.02-,-2.8608112,1.8512957,1.3717381,1.9473503,7.74305,12.240812,1809.6346,13.304234,1.8370023,5.022346,8.593194,1.522206,0.93184215,8.273507,25.571136
Al-Au-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.12-0.02-0.04-0.11-0.18-0.15-0.05-0.14-0.20-,-14.458738,9.829778,1.3634881,3.502045,1.9386717,16.946579,1654.0651,21.919516,1.7565695,11.122041,7.2542124,2.9100926,0.18885212,6.8143544,3300.1191
Co-Cr-Fe-Mo-Ni-Ti-,0.31-0.04-0.32-0.02-0.25-0.07-,-7.790867,5.95823,1.3725494,1.9319984,2.8141115,12.075029,1815.678,9.135562,1.8457016,5.5389214,8.451123,1.5439389,0.9904462,8.092812,23.052622
Co-Cu-Fe-Ni-,0.36-0.09-0.30-0.25-,1.5298444,2.4918623,1.3648772,1.6835594,12.197248,10.765126,1733.3661,7.0926256,1.8744998,1.6806036,9.136563,0.94703466,0.99979764,8.565733,25.29464
Hf-Nb-Ta-Ti-Zr-,0.31-0.23-0.12-0.10-0.25-,3.0378423,1.3309582,1.5011599,3.7832484,10.43172,12.664362,2502.2915,15.564686,1.422345,8.893375,4.3441696,0.4773025,1.0,10.028253,673.06445
Co-Fe-Mo-Ni-V-,0.16-0.14-0.27-0.32-0.11-,-7.949233,3.7019923,1.3840567,3.158804,3.3701527,12.680295,2112.7368,23.528942,1.932371,8.338926,7.9408035,1.8725884,0.9798447,8.883505,19.680603
Al-Co-Cr-Cu-Fe-Mn-Ni-V-,0.13-0.23-0.16-0.05-0.17-0.09-0.08-0.09-,-9.353518,5.8218126,1.3580029,3.5126204,3.039269,16.467041,1726.3484,22.133564,1.7523015,7.4047246,7.2071786,2.271357,0.00072173023,6.9846725,21.173239
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.23-0.27-0.06-0.23-0.13-0.05-0.04-,-3.7545269,6.4949746,1.3402452,4.1166825,5.59043,14.342337,1463.4585,28.7206,1.8076353,6.7922077,8.014746,3.138858,0.103228785,6.7829094,22.802406
Al-Co-Cr-Fe-Mo-Ni-Ti-,0.22-0.06-0.26-0.19-0.08-0.15-0.05-,-14.2771225,6.3478994,1.3605688,4.678812,1.8737949,14.950322,1789.4193,30.23474,1.7641503,9.333496,6.4140253,2.3853385,0.0007785592,6.4797573,11.372734
Mo-Nb-Ta-W-,0.28-0.34-0.15-0.22-,-6.5708113,2.3063383,1.4277809,2.914614,5.251206,11.189745,3083.598,12.03695,1.9117341,18.214474,5.504629,0.5011704,0.9998115,12.587963,73.92587
Al-Co-Cr-Cu-Fe-Ti-Zn-,0.34-0.28-0.04-0.12-0.08-0.12-0.02-,-18.33093,8.55347,1.3275518,4.481725,1.0797952,13.62945,1452.2705,30.37926,1.7301402,8.196263,6.419417,3.1440294,0.96825075,5.5255156,23.980429
Al-Co-Cr-Cu-Fe-Ti-,0.15-0.23-0.12-0.14-0.23-0.13-,-11.701796,8.341308,1.3587718,3.7768316,2.0787706,14.595335,1666.652,22.64314,1.7592593,7.6771855,7.11923,2.6623201,0.037082363,6.5271506,19.060663
Co-Cr-Cu-Fe-Ni-,0.17-0.37-0.10-0.13-0.23-,-0.73578656,3.6925898,1.37485,1.8255045,31.894974,12.516123,1875.0104,13.900784,1.8017266,6.1283174,8.196808,1.8459586,0.96840423,8.107566,17.035427
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.21-0.12-0.20-0.08-0.15-,-6.942811,6.959046,1.3385384,3.821491,3.2940903,14.743626,1551.1953,25.933334,1.7952114,7.082807,7.7356796,2.946825,0.1967453,6.77104,19.590805
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.14-0.16-0.14-0.21-0.08-0.03-0.14-0.11-,-10.731714,8.737433,1.354257,3.5008185,2.5201578,16.555964,1633.5872,22.989134,1.7682582,8.22932,7.618823,2.8722074,0.16509601,6.7984805,15.72496
Al-Co-Cr-Fe-Mn-Ni-,0.10-0.27-0.19-0.12-0.15-0.17-,-9.279884,4.80651,1.363379,3.2290606,2.6894464,14.450292,1727.145,18.935562,1.7629757,7.8017607,7.6098576,2.0275571,0.07444293,7.4005146,22.126688
Co-Cr-Cu-Fe-Ni-Ti-,0.35-0.02-0.18-0.24-0.19-0.03-,1.2154931,5.128221,1.3642398,1.6605543,17.68713,12.568906,1710.4591,10.546074,1.8634888,3.6745648,9.1122,1.4110559,0.9994111,8.423924,24.589426
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.03-0.24-0.09-0.18-0.16-0.08-0.24-,-12.511143,9.270615,1.3716058,2.320748,2.0852237,14.868355,1754.6345,15.176346,1.7703719,8.42432,7.660083,2.6163557,0.0032090144,6.991481,19.048155
Co-Cu-Fe-Mn-Ni-Sn-,0.15-0.22-0.21-0.18-0.21-0.02-,2.6148086,3.7834406,1.3714173,1.9421363,8.510509,13.823963,1609.7668,14.378945,1.8232838,7.1441064,9.183801,1.5670958,0.8752393,8.355237,14.217982
Al-Co-Cr-Fe-Ni-Ti-,0.21-0.25-0.15-0.19-0.16-0.03-,-14.968936,6.686318,1.3476644,4.133474,1.5709963,14.137255,1663.4163,24.749538,1.7742624,7.196945,7.065753,2.548257,0.7371857,6.546601,21.340857
Co-Cr-Fe-Mn-Ni-V-,0.22-0.04-0.23-0.07-0.35-0.09-,-6.429767,3.6183612,1.3669668,1.7398185,3.6580288,13.074754,1798.9072,9.048476,1.8245388,6.2726727,8.50599,1.545227,0.90753466,8.180095,20.095177
Al-Co-Cr-Fe-Mo-Ni-,0.23-0.19-0.20-0.18-0.05-0.15-,-12.7395115,5.5284505,1.3504908,4.5146346,1.9149537,14.250421,1711.9193,29.249641,1.7821466,8.161906,6.850384,2.496239,0.036284823,6.629546,18.758348
Al-Co-Cr-Cu-Fe-Mn-Ni-Sn-Zn-,0.26-0.10-0.12-0.20-0.07-0.06-0.16-0.01-0.01-,-7.2642436,6.8363204,1.3378881,4.23761,3.2385232,16.040888,1466.5908,29.465115,1.7675006,7.954232,7.576759,3.182186,0.055348616,6.4675307,13.055436
Hf-Nb-Ti-V-Zr-,0.20-0.28-0.21-0.06-0.25-,1.9469504,1.5104432,1.4785959,4.7084084,15.238458,12.676705,2340.398,13.396807,1.4613235,9.168192,4.339569,0.47563735,0.99999976,8.156002,533.932
Hf-Nb-Ta-Ti-Zr-,0.08-0.20-0.19-0.29-0.25-,2.4284334,1.1361952,1.4678502,4.1075034,12.898203,12.789342,2449.1047,20.599277,1.4739223,7.410641,4.388797,0.4894772,1.0,8.76214,282.08923
Al-Cr-Cu-Fe-Ni-,0.20-0.10-0.12-0.19-0.39-,-8.577289,6.6000657,1.3445529,3.8612623,2.299079,12.432575,1586.1445,24.020203,1.8081167,6.83247,7.9392786,2.8384607,0.19076817,6.9041233,6.6246796
Al-Co-Cr-Fe-Mo-Ni-,0.20-0.24-0.19-0.11-0.04-0.22-,-13.007016,5.7151856,1.3486319,4.1750817,1.8479619,13.987269,1718.4532,27.414625,1.7952697,7.964333,7.200077,2.541468,0.41780204,6.8818398,22.219208
Co-Cu-Fe-Ni-,0.34-0.17-0.22-0.26-,3.3841133,2.853226,1.3609992,1.5295175,5.6495643,11.275325,1695.6292,9.301784,1.8803658,1.567182,9.390658,1.0134356,0.9998746,8.652772,24.544065
Al-Co-Cr-Cu-Fe-Ni-,0.35-0.01-0.16-0.12-0.22-0.14-,-8.61326,6.315506,1.3340793,4.8514557,2.274362,13.088609,1496.696,31.239922,1.7457463,7.250179,6.587628,3.009784,0.6438214,5.7746654,6.098061
Co-Fe-Mo-Ni-,0.29-0.32-0.07-0.32-,-2.4507768,1.188563,1.373316,2.2952104,8.041294,10.642309,1851.7981,15.977305,1.8941486,4.3064957,8.779111,1.1188018,0.88183695,8.683134,21.988928
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.09-0.18-0.05-0.16-0.12-0.02-0.19-0.18-,-15.123149,9.836122,1.359308,3.0775552,1.8178798,16.437368,1672.5344,18.821346,1.7775917,8.441896,7.732607,2.7790644,0.08633913,6.8772225,16.935423
Hf-Nb-Si-Ta-Ti-Zr-,0.21-0.19-0.13-0.09-0.17-0.21-,-28.620956,21.842907,1.4390099,9.808812,1.1931596,14.575577,2342.9167,19.535,1.4993421,12.789726,4.2824497,0.45163876,0.0002229665,8.413572,566.7661
Al-Co-Fe-Ni-V-,0.03-0.28-0.20-0.28-0.21-,-11.271458,5.1193867,1.3572742,1.9891891,1.9740225,12.162384,1829.4199,12.507254,1.8185285,6.047079,8.0755,1.9927646,0.55819654,7.768257,25.648148
Co-Cr-Fe-Ni-Ti-,0.24-0.25-0.16-0.29-0.06-,-8.495189,5.5986037,1.3739611,1.8741848,2.8086827,12.772771,1868.0587,11.509256,1.8065788,6.5813093,8.127527,1.8867681,0.90056586,7.8929324,20.418728
Al-Co-Cr-Cu-Fe-Ni-,0.18-0.33-0.19-0.08-0.19-0.03-,-7.1959605,5.7186728,1.351373,3.8651896,3.1148362,13.406579,1671.8833,23.934599,1.7835492,6.4631863,7.3697443,2.4416163,0.048765473,6.917142,25.794971
Co-Cr-Fe-Mn-Ni-,0.16-0.17-0.20-0.25-0.21-,-4.2813025,2.295158,1.3812466,1.7594285,5.49724,13.267578,1773.8988,11.960784,1.7553625,8.261784,7.9995856,1.3957257,0.73780817,8.005049,14.47538
Al-Co-Cr-Cu-Fe-Sn-,0.25-0.22-0.20-0.17-0.15-0.02-,-4.574509,6.2455974,1.3443406,4.3903728,4.6844244,13.770206,1556.1813,30.015388,1.7678186,7.0270734,7.215699,2.9571335,0.122225195,6.4582825,19.939901
Hf-Mo-Nb-Ti-V-Zr-,0.02-0.15-0.10-0.15-0.38-0.20-,-3.9837189,4.392957,1.424592,5.5744724,7.6165605,13.175817,2302.8726,14.138635,1.6282153,15.46468,4.7793016,0.68662673,0.99880457,6.9405165,84.756676
